Date, Price, Ret, RV
1/26/10,-0.009433238,3.64129E-05,1181.7
1/27/10,0.000845881,2.07324E-05,1182.7
1/28/10,0.005480852,3.75735E-05,1189.2
1/29/10,-0.006495994,2.03746E-05,1181.5
2/1/10,0.000169262,1.53071E-05,1181.7
2/2/10,-0.001016002,1.11554E-05,1180.5
2/3/10,-0.002119992,1.975E-05,1178
2/4/10,-0.029024989,7.11679E-05,1144.3
2/5/10,-0.040119483,0.000176067,1099.3
2/8/10,0.001545244,0.000103831,1101
2/9/10,0.010930058,5.31487E-05,1113.1
2/10/10,0.019924167,3.77354E-05,1135.5
2/11/10,-0.007868835,7.6707E-05,1126.6
2/12/10,-0.008915894,9.84324E-05,1116.6
2/15/10,0.009448328,2.18137E-05,1127.2
2/16/10,0.011554704,2.38965E-05,1140.3
2/17/10,0.009426621,2.13224E-05,1151.1
2/18/10,-0.003655357,5.8675E-05,1146.9
2/19/10,0.008940644,3.79985E-05,1157.2
2/22/10,-0.000864528,1.0957E-05,1156.2
2/23/10,-0.008512168,3.70814E-05,1146.4
2/24/10,-0.002357977,2.73096E-05,1143.7
2/25/10,-0.013911124,4.75656E-05,1127.9
2/26/10,0.00442322,9.41058E-05,1132.9
3/1/10,0.008875668,2.12401E-05,1143
3/2/10,0.000524797,1.95017E-05,1143.6
3/3/10,0.003491624,1.574E-05,1147.6
3/4/10,0.001828234,1.16118E-05,1149.7
3/5/10,0.00364647,2.05933E-05,1153.9
3/8/10,0.011974128,1.14629E-05,1167.8
3/9/10,0.002992606,1.66355E-05,1171.3
3/10/10,0.002728282,1.76344E-05,1174.5
3/11/10,0.001276324,2.28105E-05,1176
3/12/10,0.012170536,1.20456E-05,1190.4
3/15/10,-0.006151273,1.61621E-05,1183.1
3/16/10,0.012682318,1.27496E-05,1198.2
3/17/10,0.011533962,1.5828E-05,1212.1
3/18/10,-0.004713674,9.32E-06,1206.4
3/19/10,-0.009829317,1.22765E-05,1194.6
3/22/10,-0.006803604,2.64557E-05,1186.5
3/23/10,0.000252813,2.79341E-05,1186.8
3/24/10,-0.002868958,0.000112658,1183.4
3/25/10,0.008833608,1.7262E-05,1193.9
3/26/10,0.01174084,7.44E-06,1208
3/29/10,-0.002154637,1.90418E-05,1205.4
3/30/10,0.003230218,8.51E-06,1209.3
3/31/10,-0.009304711,2.27254E-05,1198.1
4/1/10,0.016801554,1.06149E-05,1218.4
4/6/10,0.012317134,3.00655E-05,1233.5
4/7/10,0.006061849,2.16138E-05,1241
4/8/10,-0.01403845,2.52501E-05,1223.7
4/9/10,0.010890875,1.00853E-05,1237.1
4/12/10,0.007730129,8.55E-06,1246.7
4/13/10,0.005120421,2.38599E-05,1253.1
4/14/10,0.030570924,4.90371E-05,1292
4/15/10,0.007249203,5.20641E-05,1301.4
4/16/10,-0.003772282,2.43074E-05,1296.5
4/19/10,-0.007898446,4.65662E-05,1286.3
4/20/10,0.001320748,2.37434E-05,1288
4/21/10,0.002636274,2.0237E-05,1291.4
4/22/10,-0.012545456,9.2269E-05,1275.3
4/23/10,0.013396882,1.80083E-05,1292.5
4/26/10,0.017866518,1.71739E-05,1315.8
4/27/10,-0.011004238,2.54243E-05,1301.4
4/28/10,-0.018535565,6.34144E-05,1277.5
4/29/10,0.001642486,3.104E-05,1279.6
